logged_at,run_date,model,market,direction,kalshi_cents,model_pct,edge_cents,gdpnow,trade_entered,notes,market_type,inefficiency_type,market_ticker,price_24h_later,actual_outcome,brier_score,log_loss,p_yes_model
2026-05-13 21:00:03 CT,2026-05-13,GDP,GDP > 1.0%,YES,87.0,98.9,11.9,3.7469,FALSE,,GDP,MODEL_DIVERGENCE,KXGDP-26JUL30-T1.0,87.0,,,,
2026-05-13 21:00:03 CT,2026-05-13,GDP,GDP > 2.5%,YES,40.0,85.1,45.1,3.7469,FALSE,,GDP,MODEL_DIVERGENCE,KXGDP-26JUL30-T2.5,40.0,,,,
2026-05-13 21:00:03 CT,2026-05-13,GDP,GDP > 2.0%,YES,60.0,92.7,32.7,3.7469,FALSE,,GDP,MODEL_DIVERGENCE,KXGDP-26JUL30-T2.0,60.0,,,,
2026-05-13 21:00:03 CT,2026-05-13,GDP,GDP > 1.5%,YES,73.0,96.9,23.9,3.7469,FALSE,,GDP,MODEL_DIVERGENCE,KXGDP-26JUL30-T1.5,73.0,,,,
2026-05-13 21:00:03 CT,2026-05-13,BTC,BTC<$60k Dec31,NO,49.0,63.7,14.7,,FALSE,,CRYPTO_BTC,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,BTC,BTC>$100k Dec31,NO,57.0,76.3,19.3,,FALSE,,CRYPTO_BTC,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,BTC,BTC<$50k Dec31,NO,63.0,76.8,13.8,,FALSE,,CRYPTO_BTC,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,BTC,BTC>$110k Dec31,NO,69.0,82.0,13.0,,FALSE,,CRYPTO_BTC,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,BTC,BTC<$55k Dec31,NO,53.0,70.3,17.3,,FALSE,,CRYPTO_BTC,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,FED,Fed cuts 2x 2026,YES,7.1,16.0,8.9,,FALSE,,FED_RATE,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,FED,Fed cuts 1x 2026,YES,17.4,48.0,30.6,,FALSE,,FED_RATE,MODEL_DIVERGENCE,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,MLB_CHAMP,LAD Win WS,NO,72.4,95.8,23.4,,FALSE,,MLB_CHAMPIONSHIP,UNDERPRICED_TAIL,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,NBA,Pistons wins 4-3 vs Cavaliers,NO,65.0,77.1,12.1,,FALSE,,NBA_SERIES_EXACT,OVERPRICED_SPECIFIC_OUTCOME,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,NBA,Cavaliers wins 4-3 vs Pistons,NO,75.0,85.5,10.5,,FALSE,,NBA_SERIES_EXACT,OVERPRICED_SPECIFIC_OUTCOME,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,NBA,Cavaliers wins 4-2 vs Pistons,YES,10.0,23.8,13.8,,FALSE,,NBA_SERIES_EXACT,OVERPRICED_SPECIFIC_OUTCOME,,no_ticker,,,,
2026-05-13 21:00:03 CT,2026-05-13,NBA,Spurs wins 4-2 vs Timberwolves,NO,35.0,54.3,19.3,,FALSE,,NBA_SERIES_EXACT,OVERPRICED_SPECIFIC_OUTCOME,,no_ticker,,,,
